prior,detection_rate,mean_n_missions,median_n_missions,mean_cost_used,mean_final_p_true,mean_final_entropy,n_trials
P4_quadratic_wit_informative,0.32,7.095,9.0,192.095,0.0021553450309489746,6.69091806003124,200
P3_quadratic_nowit_informative,0.3,7.225,9.0,194.675,0.0021498791026122255,6.6930143816662975,200
P5_mixed_nowit_informative,0.3,7.9,10.0,189.01,0.0018724646319448774,6.838828746960811,200
P6_mixed_wit_informative,0.285,7.95,10.0,191.07,0.0015031114399059536,6.9788582408578215,200
P10_mixed_wit_uniform50_temp2,0.25,4.39,5.0,203.03,0.0010001316723223192,7.347421816581547,200
P7_mixed_wit_weak,0.245,5.105,6.0,204.48,0.0023230723367137205,6.704699787754586,200
P9_mixed_wit_uniform30,0.24,5.905,7.0,203.27,0.0011989690452943306,7.2382823794121665,200
P8_mixed_wit_vague,0.24,8.4,10.0,201.26,0.002819391643078424,6.4749583646621325,200
P1_linear_nowit_informative,0.055,9.525,10.0,219.555,0.0004683160294185932,7.365218528296117,200
P2_linear_wit_informative,0.02,9.88,10.0,227.01,0.0002212913024424317,6.877847511347901,200
