prior,trial,true_cell,detected,n_missions,cost_used,final_p_true,final_entropy
P1_linear_nowit_informative,0,909,False,10,224.0,0.0004839913421555519,7.3662263348684025
P1_linear_nowit_informative,1,547,False,10,224.0,0.0009352475342994793,7.3662263348684025
P1_linear_nowit_informative,2,1053,True,2,210.0,0.000794200497897042,7.359705524655107
P1_linear_nowit_informative,3,812,False,10,224.0,0.0003965319359200395,7.3662263348684025
P1_linear_nowit_informative,4,134,False,10,224.0,0.0005684754686778404,7.3662263348684025
P1_linear_nowit_informative,5,1517,False,10,224.0,0.000542368435550573,7.3662263348684025
P1_linear_nowit_informative,6,874,False,10,224.0,0.0002826589472436685,7.3662263348684025
P1_linear_nowit_informative,7,916,False,10,224.0,0.00033593358915802105,7.3662263348684025
P1_linear_nowit_informative,8,182,False,10,224.0,0.0004918180330950071,7.3662263348684025
P1_linear_nowit_informative,9,563,False,10,224.0,0.00039654249338452665,7.3662263348684025
P1_linear_nowit_informative,10,471,False,10,224.0,0.00032663583273015597,7.3662263348684025
P1_linear_nowit_informative,11,1227,False,10,224.0,0.000337341532554939,7.3662263348684025
P1_linear_nowit_informative,12,758,False,10,224.0,0.00050947193279563,7.3662263348684025
P1_linear_nowit_informative,13,969,False,10,224.0,0.0003109290326155163,7.3662263348684025
P1_linear_nowit_informative,14,559,False,10,224.0,0.0004995035747952741,7.3662263348684025
P1_linear_nowit_informative,15,319,False,10,224.0,0.00038744721777266434,7.3662263348684025
P1_linear_nowit_informative,16,663,False,10,224.0,0.00038217990940548854,7.3662263348684025
P1_linear_nowit_informative,17,90,False,10,224.0,0.000850474021295386,7.3662263348684025
P1_linear_nowit_informative,18,976,False,10,224.0,0.0002893858815717495,7.3662263348684025
P1_linear_nowit_informative,19,723,False,10,224.0,0.0002853906807468703,7.3662263348684025
P1_linear_nowit_informative,20,871,False,10,224.0,0.0002912488097319804,7.3662263348684025
P1_linear_nowit_informative,21,465,False,10,224.0,0.0003850023809951387,7.3662263348684025
P1_linear_nowit_informative,22,1474,False,10,224.0,0.0004418568053245435,7.3662263348684025
P1_linear_nowit_informative,23,1120,False,10,224.0,0.0003277380091874873,7.3662263348684025
P1_linear_nowit_informative,24,912,False,10,224.0,0.0004031482784775776,7.3662263348684025
P1_linear_nowit_informative,25,273,False,10,224.0,0.0003863035556580728,7.3662263348684025
P1_linear_nowit_informative,26,568,False,10,224.0,0.00032766284662411147,7.3662263348684025
P1_linear_nowit_informative,27,73,False,10,224.0,0.0005103679126888446,7.3662263348684025
P1_linear_nowit_informative,28,223,False,10,224.0,0.00041070762692602396,7.3662263348684025
P1_linear_nowit_informative,29,781,False,10,224.0,0.00030488259880247177,7.3662263348684025
P1_linear_nowit_informative,30,864,False,10,224.0,0.00036102383168528686,7.3662263348684025
P1_linear_nowit_informative,31,1452,True,1,105.0,0.0011883280617963335,7.341158038639278
P1_linear_nowit_informative,32,422,False,10,224.0,0.00033525560328493526,7.3662263348684025
P1_linear_nowit_informative,33,471,False,10,224.0,0.00032663583273015597,7.3662263348684025
P1_linear_nowit_informative,34,569,False,10,224.0,0.0003194000588998813,7.3662263348684025
P1_linear_nowit_informative,35,271,False,10,224.0,0.000394473567912509,7.3662263348684025
P1_linear_nowit_informative,36,183,False,10,224.0,0.0005088105907498999,7.3662263348684025
P1_linear_nowit_informative,37,571,False,10,224.0,0.00030728603950924845,7.3662263348684025
P1_linear_nowit_informative,38,319,False,10,224.0,0.00038744721777266434,7.3662263348684025
P1_linear_nowit_informative,39,768,False,10,224.0,0.0003100826888576028,7.3662263348684025
P1_linear_nowit_informative,40,535,False,10,224.0,0.00038570325479155444,7.3662263348684025
P1_linear_nowit_informative,41,1004,True,2,210.0,0.0007043142285347817,7.359705524655107
P1_linear_nowit_informative,42,813,False,10,224.0,0.0003765215692524782,7.3662263348684025
P1_linear_nowit_informative,43,417,False,10,224.0,0.00037245043185077365,7.3662263348684025
P1_linear_nowit_informative,44,1003,False,10,224.0,0.00036766697958726585,7.3662263348684025
P1_linear_nowit_informative,45,957,False,10,224.0,0.0005685610121785857,7.3662263348684025
P1_linear_nowit_informative,46,485,False,10,224.0,0.0003994750365843574,7.3662263348684025
P1_linear_nowit_informative,47,378,False,10,224.0,0.00035437186723644886,7.3662263348684025
P1_linear_nowit_informative,48,779,False,10,224.0,0.00029189372273031835,7.3662263348684025
P1_linear_nowit_informative,49,208,False,10,224.0,0.0007256282560788471,7.3662263348684025
P2_linear_wit_informative,0,909,False,10,228.0,0.0001488113563967628,6.877484578371882
P2_linear_wit_informative,1,547,False,10,228.0,0.002184787454649712,6.877484578371882
P2_linear_wit_informative,2,1053,False,10,228.0,0.00018309423412444256,6.877484578371882
