prior,detection_rate,mean_n_missions,median_n_missions,mean_cost_used,mean_final_p_true,mean_final_entropy,n_trials
P6_mixed_wit_informative,0.2,8.94,10.0,209.6,0.0014812155021984561,6.988061981326484,50
P3_quadratic_nowit_informative,0.16,8.0,9.0,206.48,0.0016133700578822216,6.702671838924609,50
P5_mixed_nowit_informative,0.14,8.96,10.0,207.68,0.001354722931765601,6.84746453125983,50
P4_quadratic_wit_informative,0.14,8.12,9.0,209.78,0.001535755974209244,6.704451995812101,50
P9_mixed_wit_uniform30,0.08,6.62,7.0,220.56,0.0011750126665791584,7.243611828411173,50
P8_mixed_wit_vague,0.08,9.44,10.0,217.28,0.0016449946550091302,6.497800534155962,50
P7_mixed_wit_weak,0.06,5.8,6.0,226.36,0.0016106833665177874,6.726405045665423,50
P1_linear_nowit_informative,0.06,9.5,10.0,221.06,0.0004436155314021121,7.365464136535288,50
P10_mixed_wit_uniform50_temp2,0.02,4.92,5.0,226.04,0.0009195667324787896,7.35093420893929,50
P2_linear_wit_informative,0.0,10.0,10.0,228.0,0.0002716503369712426,6.877484578371882,50
