prior,update_form,detection_rate,mean_n_missions,median_n_missions,mean_cost_used,mean_final_p_true,mean_final_entropy,n_trials,round,split
P3_quadratic_nowit_informative,explore_x1_5,0.4583333333333333,8.533333333333333,12.0,380.95,0.0018075290556690486,6.718177704632935,120,0,train
P3_quadratic_nowit_informative,lik_x1_5,0.4583333333333333,8.533333333333333,12.0,380.95,0.0018075290556690486,6.718177704632935,120,0,train
P4_quadratic_wit_informative,soft_x0_75,0.45,7.75,11.0,398.31666666666666,0.002244551065333163,6.711990741437333,120,0,train
P3_quadratic_nowit_informative,soft_x0_75,0.45,7.958333333333333,11.0,412.9583333333333,0.002065026984765405,6.7181425015966445,120,0,train
P4_quadratic_wit_informative,std,0.44166666666666665,8.308333333333334,12.0,395.9166666666667,0.0022043503396091124,6.711581994041115,120,0,train
P4_quadratic_wit_informative,lik_x2,0.44166666666666665,8.491666666666667,12.0,377.1166666666667,0.0020930547623853606,6.689919392880669,120,0,train
P3_quadratic_nowit_informative,std,0.44166666666666665,8.516666666666667,12.0,410.55833333333334,0.0019995234955397004,6.71762219847729,120,0,train
P5_mixed_nowit_informative,std,0.44166666666666665,6.616666666666666,9.0,410.46666666666664,0.001752398083476303,6.853491148194252,120,0,train
P5_mixed_nowit_informative,explore_x1_5,0.44166666666666665,6.616666666666666,9.0,410.46666666666664,0.0016817533861332723,6.835802574612499,120,0,train
P5_mixed_nowit_informative,lik_x1_5,0.44166666666666665,6.616666666666666,9.0,410.46666666666664,0.0016817533861332723,6.835802574612499,120,0,train
P5_mixed_nowit_informative,lik_x2,0.44166666666666665,6.616666666666666,9.0,410.46666666666664,0.001635597983408516,6.820565188828521,120,0,train
P4_quadratic_wit_informative,explore_x1_5,0.43333333333333335,8.575,12.0,371.48333333333335,0.002081911136844928,6.714857035994864,120,0,train
P4_quadratic_wit_informative,lik_x1_5,0.43333333333333335,8.575,12.0,371.48333333333335,0.002081911136844928,6.714857035994864,120,0,train
P3_quadratic_nowit_informative,lik_x2,0.43333333333333335,8.708333333333334,12.0,392.3833333333333,0.0017598337259824698,6.695342958921222,120,0,train
P6_mixed_wit_informative,std,0.43333333333333335,7.158333333333333,10.0,399.95,0.001493206623822232,7.002131169953818,120,0,train
P9_mixed_wit_uniform30,soft_x0_75,0.43333333333333335,5.833333333333333,8.0,378.6,0.001254994996835298,7.250638283361124,120,0,train
P9_mixed_wit_uniform30,std,0.43333333333333335,5.833333333333333,8.0,378.6,0.0012337312776635639,7.248713318898646,120,0,train
P9_mixed_wit_uniform30,explore_x1_5,0.43333333333333335,4.658333333333333,6.0,389.53333333333336,0.0012300910845033587,7.240605798096962,120,0,train
P9_mixed_wit_uniform30,lik_x1_5,0.43333333333333335,4.658333333333333,6.0,389.53333333333336,0.0012300910845033587,7.240605798096962,120,0,train
P9_mixed_wit_uniform30,lik_x2,0.43333333333333335,4.658333333333333,6.0,389.53333333333336,0.0012107139504695678,7.231255598550387,120,0,train
P7_mixed_wit_weak,soft_x0_75,0.425,7.183333333333334,10.0,408.2583333333333,0.0023975116917837394,6.736514022944179,120,0,train
P7_mixed_wit_weak,std,0.425,7.183333333333334,10.0,408.2583333333333,0.002342666343342444,6.738311182081221,120,0,train
P7_mixed_wit_weak,lik_x1_5,0.425,7.183333333333334,10.0,408.2583333333333,0.002249078669933655,6.731255946814253,120,0,train
P7_mixed_wit_weak,explore_x1_5,0.425,7.175,10.0,408.075,0.0022487069289956344,6.731099533266394,120,0,train
P7_mixed_wit_weak,lik_x2,0.425,7.183333333333334,10.0,408.2583333333333,0.002174874687612049,6.721988953951314,120,0,train
P6_mixed_wit_informative,lik_x1_5,0.425,8.35,12.0,403.68333333333334,0.0014242588846130383,6.99104966801645,120,0,train
P6_mixed_wit_informative,lik_x2,0.425,8.35,12.0,403.68333333333334,0.001388093607095837,6.977183092920989,120,0,train
P6_mixed_wit_informative,soft_x0_75,0.4166666666666667,7.208333333333333,10.0,387.3666666666667,0.0015197304134873862,6.997720073128813,120,0,train
P5_mixed_nowit_informative,soft_x0_75,0.4083333333333333,7.808333333333334,11.0,409.4583333333333,0.0018104656462210465,6.858646372587547,120,0,train
P6_mixed_wit_informative,explore_x1_5,0.4083333333333333,5.575,7.0,403.56666666666666,0.0014207047120988927,6.991157904951671,120,0,train
P10_mixed_wit_uniform50_temp2,soft_x0_75,0.38333333333333336,5.508333333333334,7.0,415.68333333333334,0.0009695163986638857,7.357444546673987,120,0,train
P10_mixed_wit_uniform50_temp2,std,0.38333333333333336,5.508333333333334,7.0,415.68333333333334,0.0009440904073042672,7.352108867532831,120,0,train
P10_mixed_wit_uniform50_temp2,explore_x1_5,0.38333333333333336,5.508333333333334,7.0,415.68333333333334,0.0009114779843804225,7.340782330045077,120,0,train
P10_mixed_wit_uniform50_temp2,lik_x1_5,0.38333333333333336,5.508333333333334,7.0,415.68333333333334,0.0009114779843804225,7.340782330045077,120,0,train
P10_mixed_wit_uniform50_temp2,lik_x2,0.38333333333333336,5.508333333333334,7.0,415.68333333333334,0.0008929977147165194,7.3317492142901175,120,0,train
P8_mixed_wit_vague,soft_x0_75,0.375,8.366666666666667,12.0,434.23333333333335,0.0031610679167060228,6.457564326965269,120,0,train
P8_mixed_wit_vague,std,0.375,8.366666666666667,12.0,434.23333333333335,0.0031383937045783104,6.46163203823676,120,0,train
P8_mixed_wit_vague,explore_x1_5,0.375,6.491666666666666,9.0,438.18333333333334,0.0031254737589912645,6.435064686238108,120,0,train
P8_mixed_wit_vague,lik_x1_5,0.375,8.366666666666667,12.0,435.46666666666664,0.0030983560583484173,6.443180976881104,120,0,train
P8_mixed_wit_vague,lik_x2,0.375,8.366666666666667,12.0,435.46666666666664,0.003081773639681505,6.410089161761381,120,0,train
EB_r01_bw3.5_u15,explore_x1_5,0.5333333333333333,6.758333333333334,7.0,354.7916666666667,0.0027959791984950317,6.640857129913718,120,1,train
